Epoch,Train loss,Test loss,Accuracy
0,1.9439535476267338,0.643105776887387,0.963
1,1.3377196532208473,0.2792487552505918,0.989
2,1.09095632963581,0.20546637081424707,0.993
3,1.1955229084240273,0.23162624064134435,0.994
4,1.0850649328902364,0.26059894713107495,0.992
5,1.1944796410854905,0.30346131781116126,0.996
6,0.8237767600221559,0.24908133257413284,0.994
7,1.183703251980478,0.20440299826441333,0.998
8,1.0633714702446013,0.15203016537707298,0.997
9,0.9210959281597753,0.1822337173682172,0.994
